username,selectedThemes
Patricia Stewart,"['12_Lifehacks', '4_Gaming', '28_Databases', '13_Social Good', '20_E-commerce/Retail', '19_Education', '11_Productivity', '6_Machine Learning/AI', '25_Web', '14_COVID-19', '1_Blockchain', '26_Mobile', '15_Music/Art', '21_Enterprise', '16_Health', '3_Fintech', '8_Voice skills', '24_Quantum', '10_Communication']"
Victoria Thompson,"['18_Design', '14_COVID-19', '13_Social Good', '4_Gaming', '12_Lifehacks', '10_Communication', '1_Blockchain', '2_DevOps', '15_Music/Art', '16_Health', '28_Databases', '5_AR/VR', '26_Mobile', '3_Fintech', '17_Low/No Code', '23_Beginner Friendly', '9_Cybersecurity', '7_IoT', '8_Voice skills', '22_Open Ended', '20_E-commerce/Retail', '11_Productivity', '6_Machine Learning/AI', '25_Web', '24_Quantum', '21_Enterprise', '19_Education']"
Vincent Young,"['16_Health', '4_Gaming', '13_Social Good', '25_Web', '1_Blockchain', '11_Productivity', '22_Open Ended', '27_Robotic Process Automation', '28_Databases', '17_Low/No Code', '3_Fintech', '15_Music/Art', '14_COVID-19', '24_Quantum', '18_Design']"
Leon Bowen,"['23_Beginner Friendly', '27_Robotic Process Automation', '22_Open Ended', '14_COVID-19']"
Rachel Jones,"['19_Education', '28_Databases', '6_Machine Learning/AI', '2_DevOps', '26_Mobile', '13_Social Good', '20_E-commerce/Retail', '8_Voice skills', '15_Music/Art', '3_Fintech', '1_Blockchain', '12_Lifehacks', '10_Communication', '5_AR/VR', '11_Productivity', '17_Low/No Code', '21_Enterprise', '18_Design']"
Mr. Scott Banks,"['11_Productivity', '2_DevOps', '18_Design', '24_Quantum', '21_Enterprise', '26_Mobile', '6_Machine Learning/AI']"
Jason Kelly,"['8_Voice skills', '10_Communication', '16_Health', '9_Cybersecurity', '18_Design', '2_DevOps', '15_Music/Art', '17_Low/No Code', '13_Social Good']"
Mario Fox,"['17_Low/No Code', '18_Design', '9_Cybersecurity', '24_Quantum', '22_Open Ended', '5_AR/VR']"
Jill Williams,['5_AR/VR']
Victor Glover,"['22_Open Ended', '1_Blockchain']"
Andrea Adams,"['16_Health', '9_Cybersecurity', '17_Low/No Code', '18_Design', '3_Fintech', '19_Education', '24_Quantum', '15_Music/Art', '13_Social Good', '1_Blockchain', '14_COVID-19', '20_E-commerce/Retail', '27_Robotic Process Automation', '22_Open Ended', '26_Mobile', '6_Machine Learning/AI', '12_Lifehacks', '10_Communication', '5_AR/VR', '4_Gaming', '21_Enterprise']"
Douglas Henry,"['16_Health', '11_Productivity', '28_Databases', '17_Low/No Code', '9_Cybersecurity', '14_COVID-19', '24_Quantum', '6_Machine Learning/AI', '19_Education', '13_Social Good', '22_Open Ended', '8_Voice skills', '26_Mobile', '1_Blockchain', '27_Robotic Process Automation', '4_Gaming']"
Jessica Morton,"['3_Fintech', '13_Social Good', '28_Databases', '7_IoT', '16_Health', '6_Machine Learning/AI', '25_Web', '19_Education', '2_DevOps', '14_COVID-19', '10_Communication', '18_Design', '11_Productivity', '8_Voice skills', '12_Lifehacks']"
Heather Moore,"['28_Databases', '16_Health']"
Jonathan Hodges,"['15_Music/Art', '8_Voice skills', '9_Cybersecurity', '25_Web', '12_Lifehacks', '10_Communication', '20_E-commerce/Retail', '22_Open Ended', '23_Beginner Friendly', '19_Education', '2_DevOps', '11_Productivity', '7_IoT', '26_Mobile', '6_Machine Learning/AI', '1_Blockchain', '5_AR/VR', '18_Design', '4_Gaming']"
Karen Schneider,"['12_Lifehacks', '16_Health', '17_Low/No Code', '10_Communication', '4_Gaming', '23_Beginner Friendly', '5_AR/VR', '2_DevOps', '25_Web', '14_COVID-19', '1_Blockchain', '26_Mobile', '19_Education', '11_Productivity', '3_Fintech', '15_Music/Art', '8_Voice skills', '18_Design', '7_IoT', '13_Social Good', '9_Cybersecurity']"
Benjamin Kelly,"['10_Communication', '6_Machine Learning/AI', '13_Social Good', '8_Voice skills', '17_Low/No Code']"
Sherri Hart,"['4_Gaming', '2_DevOps', '16_Health', '21_Enterprise', '23_Beginner Friendly', '26_Mobile', '14_COVID-19', '17_Low/No Code', '10_Communication', '20_E-commerce/Retail', '6_Machine Learning/AI', '7_IoT']"
Shelley Mcdaniel,"['9_Cybersecurity', '2_DevOps', '21_Enterprise', '20_E-commerce/Retail', '10_Communication', '8_Voice skills', '23_Beginner Friendly', '1_Blockchain', '28_Databases', '17_Low/No Code', '16_Health', '3_Fintech', '18_Design', '25_Web', '15_Music/Art', '24_Quantum', '13_Social Good', '19_Education', '14_COVID-19', '4_Gaming', '11_Productivity', '5_AR/VR']"
Troy Obrien,"['27_Robotic Process Automation', '23_Beginner Friendly']"
Adrian Nguyen,"['9_Cybersecurity', '19_Education', '6_Machine Learning/AI', '27_Robotic Process Automation', '26_Mobile', '11_Productivity', '12_Lifehacks', '10_Communication', '25_Web', '1_Blockchain', '8_Voice skills', '21_Enterprise', '22_Open Ended', '7_IoT', '3_Fintech']"
Amy Quinn,"['18_Design', '26_Mobile', '24_Quantum', '25_Web', '22_Open Ended', '5_AR/VR', '3_Fintech', '23_Beginner Friendly', '28_Databases', '21_Enterprise', '14_COVID-19', '12_Lifehacks', '2_DevOps', '10_Communication', '27_Robotic Process Automation', '8_Voice skills', '19_Education', '7_IoT', '1_Blockchain', '16_Health', '4_Gaming', '11_Productivity']"
James Stone,['2_DevOps']
Bob Wyatt,"['28_Databases', '7_IoT', '11_Productivity', '1_Blockchain', '5_AR/VR', '13_Social Good', '14_COVID-19', '2_DevOps', '26_Mobile', '16_Health', '17_Low/No Code', '22_Open Ended', '25_Web', '9_Cybersecurity', '21_Enterprise', '12_Lifehacks', '8_Voice skills', '4_Gaming', '23_Beginner Friendly', '24_Quantum', '3_Fintech', '6_Machine Learning/AI', '15_Music/Art', '27_Robotic Process Automation', '20_E-commerce/Retail', '18_Design']"
Caitlin Cardenas,"['18_Design', '15_Music/Art', '23_Beginner Friendly', '28_Databases', '21_Enterprise', '6_Machine Learning/AI', '20_E-commerce/Retail', '4_Gaming', '5_AR/VR', '26_Mobile', '14_COVID-19', '13_Social Good']"
Tara Bonilla,"['13_Social Good', '28_Databases', '25_Web', '20_E-commerce/Retail']"
Stephanie Martin,"['9_Cybersecurity', '21_Enterprise', '1_Blockchain', '11_Productivity']"
Tara Lewis,"['17_Low/No Code', '7_IoT', '24_Quantum', '8_Voice skills', '18_Design', '13_Social Good', '20_E-commerce/Retail', '14_COVID-19', '28_Databases', '6_Machine Learning/AI', '21_Enterprise', '15_Music/Art', '16_Health', '12_Lifehacks', '9_Cybersecurity', '11_Productivity', '19_Education', '25_Web', '23_Beginner Friendly', '5_AR/VR', '10_Communication', '1_Blockchain']"
Miss Caroline Bell,"['13_Social Good', '3_Fintech', '9_Cybersecurity', '10_Communication', '25_Web', '16_Health', '8_Voice skills', '26_Mobile', '17_Low/No Code', '14_COVID-19', '7_IoT', '27_Robotic Process Automation', '12_Lifehacks', '4_Gaming', '20_E-commerce/Retail', '23_Beginner Friendly']"
Paul Morales,"['2_DevOps', '8_Voice skills', '3_Fintech', '24_Quantum', '25_Web', '19_Education', '4_Gaming', '15_Music/Art', '1_Blockchain', '5_AR/VR', '12_Lifehacks', '17_Low/No Code', '7_IoT', '22_Open Ended', '26_Mobile', '14_COVID-19', '9_Cybersecurity', '27_Robotic Process Automation', '6_Machine Learning/AI', '10_Communication', '21_Enterprise', '18_Design', '28_Databases']"
Melissa Garcia,"['16_Health', '4_Gaming', '3_Fintech', '26_Mobile', '25_Web', '15_Music/Art', '11_Productivity', '6_Machine Learning/AI', '19_Education', '1_Blockchain', '18_Design', '24_Quantum', '7_IoT', '21_Enterprise', '9_Cybersecurity', '17_Low/No Code', '14_COVID-19', '12_Lifehacks', '20_E-commerce/Retail']"
Kent Holloway,"['21_Enterprise', '27_Robotic Process Automation', '10_Communication', '15_Music/Art', '2_DevOps', '11_Productivity']"
Joseph Schmidt,"['17_Low/No Code', '16_Health', '20_E-commerce/Retail', '4_Gaming', '12_Lifehacks', '23_Beginner Friendly', '18_Design', '3_Fintech', '25_Web', '6_Machine Learning/AI', '8_Voice skills']"
Angela Hall,"['5_AR/VR', '2_DevOps']"
Mikayla Palmer,"['18_Design', '3_Fintech', '23_Beginner Friendly', '14_COVID-19', '16_Health', '21_Enterprise', '17_Low/No Code', '24_Quantum', '27_Robotic Process Automation', '28_Databases', '15_Music/Art']"
Albert Gray,"['15_Music/Art', '26_Mobile', '6_Machine Learning/AI', '7_IoT', '17_Low/No Code', '23_Beginner Friendly', '25_Web', '21_Enterprise', '1_Blockchain', '9_Cybersecurity', '27_Robotic Process Automation', '24_Quantum', '28_Databases', '13_Social Good', '5_AR/VR', '19_Education', '20_E-commerce/Retail', '10_Communication', '8_Voice skills', '12_Lifehacks']"
Michael Santana,"['13_Social Good', '15_Music/Art', '19_Education', '27_Robotic Process Automation', '11_Productivity', '23_Beginner Friendly', '12_Lifehacks', '25_Web', '26_Mobile', '7_IoT', '10_Communication', '4_Gaming', '21_Enterprise']"
Lori Morris,"['6_Machine Learning/AI', '9_Cybersecurity', '4_Gaming']"
Sean Smith,"['18_Design', '11_Productivity', '23_Beginner Friendly', '20_E-commerce/Retail', '9_Cybersecurity', '24_Quantum', '2_DevOps']"
Jose Benitez,"['1_Blockchain', '11_Productivity', '9_Cybersecurity']"
Brian Ramirez,"['3_Fintech', '10_Communication', '13_Social Good', '8_Voice skills', '22_Open Ended', '15_Music/Art', '6_Machine Learning/AI', '24_Quantum', '9_Cybersecurity']"
Alex Scott,"['17_Low/No Code', '12_Lifehacks', '27_Robotic Process Automation', '20_E-commerce/Retail', '18_Design', '3_Fintech', '5_AR/VR', '9_Cybersecurity', '8_Voice skills', '4_Gaming', '6_Machine Learning/AI', '7_IoT', '21_Enterprise', '15_Music/Art', '24_Quantum', '14_COVID-19', '23_Beginner Friendly', '2_DevOps', '25_Web', '22_Open Ended', '19_Education', '13_Social Good']"
Kathryn Peterson,"['5_AR/VR', '3_Fintech', '12_Lifehacks', '9_Cybersecurity', '27_Robotic Process Automation', '21_Enterprise', '4_Gaming', '8_Voice skills', '18_Design', '22_Open Ended', '28_Databases']"
Brandi Hernandez,"['1_Blockchain', '24_Quantum', '18_Design', '7_IoT', '16_Health', '21_Enterprise', '10_Communication', '4_Gaming', '25_Web', '20_E-commerce/Retail', '14_COVID-19', '22_Open Ended', '6_Machine Learning/AI', '9_Cybersecurity', '27_Robotic Process Automation', '15_Music/Art', '5_AR/VR', '28_Databases', '17_Low/No Code', '8_Voice skills']"
Trevor Fisher,"['12_Lifehacks', '18_Design', '15_Music/Art', '27_Robotic Process Automation', '22_Open Ended']"
Patrick Kirby,"['7_IoT', '5_AR/VR', '6_Machine Learning/AI', '25_Web', '9_Cybersecurity', '24_Quantum', '1_Blockchain', '13_Social Good', '3_Fintech', '4_Gaming', '12_Lifehacks', '26_Mobile', '16_Health', '22_Open Ended', '17_Low/No Code', '15_Music/Art', '21_Enterprise', '20_E-commerce/Retail', '8_Voice skills', '18_Design', '2_DevOps']"
Theodore Briggs,"['22_Open Ended', '27_Robotic Process Automation', '25_Web', '10_Communication', '13_Social Good', '16_Health', '11_Productivity', '9_Cybersecurity', '19_Education', '3_Fintech', '26_Mobile', '8_Voice skills', '15_Music/Art']"
Craig Snyder,"['14_COVID-19', '5_AR/VR', '22_Open Ended', '26_Mobile', '16_Health', '4_Gaming', '24_Quantum', '7_IoT', '27_Robotic Process Automation', '2_DevOps', '1_Blockchain', '19_Education', '10_Communication', '21_Enterprise']"
Christine Jackson,"['4_Gaming', '21_Enterprise', '6_Machine Learning/AI', '28_Databases', '13_Social Good', '12_Lifehacks', '1_Blockchain', '25_Web', '14_COVID-19', '8_Voice skills', '27_Robotic Process Automation', '19_Education', '2_DevOps', '11_Productivity', '16_Health', '9_Cybersecurity', '10_Communication', '26_Mobile', '22_Open Ended', '18_Design', '17_Low/No Code']"
Lindsey Chandler,"['6_Machine Learning/AI', '11_Productivity', '7_IoT', '19_Education', '4_Gaming', '15_Music/Art', '2_DevOps', '3_Fintech', '12_Lifehacks', '21_Enterprise', '23_Beginner Friendly', '5_AR/VR', '20_E-commerce/Retail', '25_Web', '28_Databases', '9_Cybersecurity', '1_Blockchain', '26_Mobile', '17_Low/No Code', '27_Robotic Process Automation', '18_Design', '8_Voice skills', '16_Health', '24_Quantum', '10_Communication', '22_Open Ended', '14_COVID-19']"
Eric Mccarty II,"['19_Education', '5_AR/VR', '18_Design', '11_Productivity', '13_Social Good', '21_Enterprise', '9_Cybersecurity', '1_Blockchain', '22_Open Ended', '20_E-commerce/Retail']"
Erica Smith,"['6_Machine Learning/AI', '19_Education', '21_Enterprise', '1_Blockchain', '22_Open Ended', '5_AR/VR', '8_Voice skills', '14_COVID-19', '20_E-commerce/Retail', '11_Productivity', '16_Health', '17_Low/No Code', '2_DevOps', '9_Cybersecurity', '12_Lifehacks', '28_Databases', '4_Gaming', '23_Beginner Friendly', '7_IoT', '18_Design', '15_Music/Art']"
Michelle Carson,"['7_IoT', '14_COVID-19', '6_Machine Learning/AI', '20_E-commerce/Retail', '25_Web', '22_Open Ended', '4_Gaming', '16_Health', '3_Fintech']"
Alexandra Murphy,"['27_Robotic Process Automation', '15_Music/Art', '18_Design', '1_Blockchain', '17_Low/No Code', '14_COVID-19', '9_Cybersecurity', '12_Lifehacks']"
Leah Schaefer,"['17_Low/No Code', '20_E-commerce/Retail', '11_Productivity', '4_Gaming', '2_DevOps', '16_Health', '6_Machine Learning/AI', '8_Voice skills', '14_COVID-19', '18_Design', '10_Communication', '28_Databases', '9_Cybersecurity', '13_Social Good', '24_Quantum', '22_Open Ended', '7_IoT', '23_Beginner Friendly', '21_Enterprise', '5_AR/VR', '15_Music/Art', '19_Education', '25_Web', '3_Fintech', '1_Blockchain']"
Michelle Martin,"['5_AR/VR', '25_Web', '12_Lifehacks', '3_Fintech', '16_Health', '19_Education', '15_Music/Art', '10_Communication', '22_Open Ended', '21_Enterprise', '13_Social Good', '24_Quantum', '27_Robotic Process Automation', '11_Productivity', '8_Voice skills', '20_E-commerce/Retail', '7_IoT']"
Belinda Cook,['19_Education']
Robert Robertson,"['12_Lifehacks', '21_Enterprise', '6_Machine Learning/AI', '20_E-commerce/Retail', '28_Databases', '9_Cybersecurity', '3_Fintech', '2_DevOps', '1_Blockchain']"
Amanda Thompson,"['10_Communication', '19_Education', '21_Enterprise', '14_COVID-19', '26_Mobile', '7_IoT', '4_Gaming', '17_Low/No Code', '3_Fintech', '13_Social Good', '27_Robotic Process Automation']"
John Moore,"['1_Blockchain', '2_DevOps', '8_Voice skills', '26_Mobile', '19_Education', '3_Fintech', '23_Beginner Friendly', '17_Low/No Code', '22_Open Ended', '6_Machine Learning/AI', '25_Web', '13_Social Good', '27_Robotic Process Automation', '21_Enterprise', '20_E-commerce/Retail', '18_Design', '11_Productivity']"
Justin Rodriguez,"['25_Web', '26_Mobile', '12_Lifehacks', '13_Social Good', '5_AR/VR', '8_Voice skills', '10_Communication', '9_Cybersecurity', '22_Open Ended', '19_Education', '6_Machine Learning/AI', '28_Databases', '23_Beginner Friendly', '3_Fintech', '21_Enterprise', '24_Quantum', '27_Robotic Process Automation']"
Paula Riddle,"['21_Enterprise', '6_Machine Learning/AI', '4_Gaming', '2_DevOps', '26_Mobile', '8_Voice skills', '20_E-commerce/Retail', '9_Cybersecurity', '15_Music/Art', '16_Health', '11_Productivity', '12_Lifehacks', '13_Social Good', '1_Blockchain', '17_Low/No Code', '28_Databases', '23_Beginner Friendly', '10_Communication', '25_Web', '5_AR/VR', '18_Design', '19_Education']"
Elizabeth Cain,"['14_COVID-19', '22_Open Ended', '25_Web', '13_Social Good', '15_Music/Art', '17_Low/No Code', '18_Design', '28_Databases', '26_Mobile', '10_Communication', '24_Quantum', '6_Machine Learning/AI']"
Bryce Stewart,"['13_Social Good', '19_Education', '26_Mobile', '21_Enterprise', '18_Design', '28_Databases', '22_Open Ended', '7_IoT', '4_Gaming', '25_Web', '2_DevOps', '17_Low/No Code']"
Barbara Zamora,"['25_Web', '8_Voice skills', '3_Fintech', '23_Beginner Friendly', '10_Communication', '1_Blockchain', '27_Robotic Process Automation', '11_Productivity', '9_Cybersecurity', '5_AR/VR', '20_E-commerce/Retail', '7_IoT', '6_Machine Learning/AI', '13_Social Good', '17_Low/No Code', '24_Quantum', '2_DevOps', '22_Open Ended']"
Reginald Vaughn,"['16_Health', '26_Mobile', '3_Fintech', '20_E-commerce/Retail', '6_Machine Learning/AI', '1_Blockchain', '17_Low/No Code', '22_Open Ended', '11_Productivity', '4_Gaming', '7_IoT', '9_Cybersecurity', '8_Voice skills', '28_Databases', '25_Web', '10_Communication', '5_AR/VR', '12_Lifehacks', '2_DevOps', '15_Music/Art', '21_Enterprise', '27_Robotic Process Automation', '24_Quantum', '23_Beginner Friendly', '13_Social Good', '19_Education']"
Pamela Kelley,"['18_Design', '6_Machine Learning/AI', '2_DevOps', '25_Web', '13_Social Good', '7_IoT', '9_Cybersecurity', '14_COVID-19', '15_Music/Art', '27_Robotic Process Automation', '22_Open Ended', '20_E-commerce/Retail', '3_Fintech', '11_Productivity', '8_Voice skills', '24_Quantum']"
Brittany Phillips,"['11_Productivity', '15_Music/Art', '21_Enterprise', '25_Web', '19_Education', '9_Cybersecurity', '7_IoT', '5_AR/VR']"
Mackenzie Chapman,"['7_IoT', '18_Design', '25_Web', '11_Productivity', '15_Music/Art', '9_Cybersecurity', '6_Machine Learning/AI', '19_Education', '16_Health', '5_AR/VR', '8_Voice skills', '4_Gaming', '24_Quantum', '3_Fintech', '28_Databases', '21_Enterprise', '20_E-commerce/Retail', '27_Robotic Process Automation', '23_Beginner Friendly', '12_Lifehacks', '14_COVID-19']"
Melissa Flores,"['21_Enterprise', '23_Beginner Friendly', '1_Blockchain', '4_Gaming', '18_Design']"
Tiffany Phillips,"['9_Cybersecurity', '17_Low/No Code', '27_Robotic Process Automation', '24_Quantum', '22_Open Ended', '21_Enterprise', '26_Mobile', '23_Beginner Friendly', '15_Music/Art', '6_Machine Learning/AI', '18_Design', '25_Web', '2_DevOps', '16_Health', '1_Blockchain']"
James Miller,"['18_Design', '20_E-commerce/Retail', '3_Fintech', '23_Beginner Friendly', '14_COVID-19', '16_Health', '15_Music/Art', '24_Quantum', '2_DevOps', '9_Cybersecurity', '13_Social Good', '4_Gaming', '21_Enterprise', '27_Robotic Process Automation', '17_Low/No Code', '12_Lifehacks', '5_AR/VR', '10_Communication', '6_Machine Learning/AI', '11_Productivity', '8_Voice skills', '7_IoT']"
Robin Young,"['8_Voice skills', '13_Social Good', '10_Communication', '27_Robotic Process Automation', '21_Enterprise', '26_Mobile', '3_Fintech', '17_Low/No Code', '4_Gaming', '20_E-commerce/Retail', '18_Design', '9_Cybersecurity', '11_Productivity', '24_Quantum']"
Lindsay Rodriguez,"['28_Databases', '4_Gaming', '22_Open Ended', '15_Music/Art', '6_Machine Learning/AI', '17_Low/No Code', '1_Blockchain', '8_Voice skills', '7_IoT', '10_Communication', '23_Beginner Friendly', '20_E-commerce/Retail', '25_Web', '13_Social Good', '5_AR/VR', '3_Fintech', '16_Health', '27_Robotic Process Automation', '14_COVID-19', '21_Enterprise', '26_Mobile', '11_Productivity', '9_Cybersecurity', '19_Education', '12_Lifehacks', '18_Design', '24_Quantum', '2_DevOps']"
Brian Bell,"['11_Productivity', '19_Education', '4_Gaming', '3_Fintech', '14_COVID-19', '28_Databases']"
Mary Kaiser,"['13_Social Good', '19_Education', '28_Databases', '5_AR/VR', '12_Lifehacks', '10_Communication', '22_Open Ended', '6_Machine Learning/AI', '9_Cybersecurity', '8_Voice skills', '15_Music/Art', '11_Productivity', '24_Quantum', '7_IoT', '16_Health', '20_E-commerce/Retail', '26_Mobile', '2_DevOps', '27_Robotic Process Automation', '23_Beginner Friendly', '1_Blockchain', '4_Gaming', '25_Web', '14_COVID-19', '21_Enterprise']"
Stephanie Love,"['24_Quantum', '14_COVID-19', '4_Gaming', '19_Education', '21_Enterprise', '7_IoT', '11_Productivity', '9_Cybersecurity', '12_Lifehacks', '10_Communication', '20_E-commerce/Retail']"
Jody Clark,"['3_Fintech', '13_Social Good', '2_DevOps', '25_Web', '1_Blockchain', '16_Health', '4_Gaming', '26_Mobile', '22_Open Ended', '27_Robotic Process Automation', '8_Voice skills', '11_Productivity', '18_Design', '20_E-commerce/Retail', '28_Databases', '15_Music/Art', '10_Communication', '12_Lifehacks']"
Robert Marshall Jr.,"['22_Open Ended', '11_Productivity', '8_Voice skills', '12_Lifehacks', '7_IoT', '20_E-commerce/Retail', '5_AR/VR', '28_Databases', '3_Fintech', '27_Robotic Process Automation', '18_Design', '23_Beginner Friendly', '21_Enterprise', '19_Education', '13_Social Good', '14_COVID-19', '10_Communication', '9_Cybersecurity', '16_Health', '15_Music/Art', '25_Web', '4_Gaming']"
Mrs. Diana Dixon,"['15_Music/Art', '24_Quantum', '6_Machine Learning/AI', '7_IoT', '16_Health', '17_Low/No Code', '14_COVID-19', '18_Design', '12_Lifehacks', '23_Beginner Friendly']"
Jenny Hanna,"['25_Web', '16_Health', '9_Cybersecurity', '28_Databases', '10_Communication', '11_Productivity', '23_Beginner Friendly', '21_Enterprise', '20_E-commerce/Retail']"
Elizabeth Walker,"['4_Gaming', '26_Mobile', '5_AR/VR', '14_COVID-19', '12_Lifehacks', '21_Enterprise', '2_DevOps', '28_Databases', '15_Music/Art', '16_Health', '25_Web', '9_Cybersecurity', '11_Productivity', '18_Design', '27_Robotic Process Automation', '3_Fintech', '7_IoT', '22_Open Ended', '20_E-commerce/Retail', '10_Communication', '24_Quantum', '6_Machine Learning/AI', '13_Social Good', '17_Low/No Code', '1_Blockchain', '19_Education', '23_Beginner Friendly']"
Harold Marshall,"['26_Mobile', '19_Education', '14_COVID-19', '4_Gaming', '7_IoT', '25_Web', '16_Health', '24_Quantum', '6_Machine Learning/AI', '8_Voice skills', '22_Open Ended', '15_Music/Art', '3_Fintech', '20_E-commerce/Retail', '9_Cybersecurity', '23_Beginner Friendly', '12_Lifehacks', '13_Social Good', '21_Enterprise', '27_Robotic Process Automation', '11_Productivity', '17_Low/No Code', '18_Design']"
Christopher Carter,"['21_Enterprise', '15_Music/Art', '1_Blockchain', '26_Mobile']"
Christian Watts,"['19_Education', '9_Cybersecurity', '4_Gaming', '24_Quantum', '15_Music/Art', '26_Mobile', '10_Communication', '17_Low/No Code', '27_Robotic Process Automation', '3_Fintech', '5_AR/VR', '1_Blockchain', '8_Voice skills', '20_E-commerce/Retail', '23_Beginner Friendly', '22_Open Ended', '13_Social Good', '2_DevOps', '18_Design', '7_IoT', '11_Productivity', '14_COVID-19', '25_Web', '28_Databases', '12_Lifehacks']"
Destiny Hernandez,"['4_Gaming', '10_Communication', '25_Web', '17_Low/No Code', '15_Music/Art']"
Destiny Peterson,"['20_E-commerce/Retail', '18_Design', '12_Lifehacks', '3_Fintech', '11_Productivity', '8_Voice skills', '5_AR/VR', '2_DevOps', '23_Beginner Friendly', '7_IoT', '9_Cybersecurity', '4_Gaming', '1_Blockchain', '26_Mobile', '19_Education', '22_Open Ended']"
Jerry Davenport,"['13_Social Good', '24_Quantum', '22_Open Ended', '6_Machine Learning/AI', '17_Low/No Code', '25_Web', '9_Cybersecurity', '2_DevOps', '21_Enterprise', '16_Health', '7_IoT', '4_Gaming', '19_Education']"
George Smith,"['23_Beginner Friendly', '17_Low/No Code', '11_Productivity', '9_Cybersecurity', '25_Web', '5_AR/VR', '24_Quantum', '19_Education', '16_Health', '18_Design', '22_Open Ended', '20_E-commerce/Retail', '14_COVID-19', '12_Lifehacks']"
Dr. Kara Brown,"['27_Robotic Process Automation', '2_DevOps', '12_Lifehacks', '8_Voice skills', '25_Web', '26_Mobile', '28_Databases', '23_Beginner Friendly', '6_Machine Learning/AI', '22_Open Ended', '13_Social Good', '24_Quantum', '4_Gaming']"
Adrian Brown,"['17_Low/No Code', '18_Design', '26_Mobile', '23_Beginner Friendly', '25_Web', '27_Robotic Process Automation', '3_Fintech', '11_Productivity', '20_E-commerce/Retail']"
Dustin Williams,"['15_Music/Art', '13_Social Good', '16_Health', '21_Enterprise', '14_COVID-19', '27_Robotic Process Automation', '18_Design', '12_Lifehacks', '2_DevOps', '22_Open Ended', '1_Blockchain', '6_Machine Learning/AI', '25_Web', '23_Beginner Friendly', '10_Communication', '11_Productivity', '7_IoT', '26_Mobile', '5_AR/VR', '9_Cybersecurity', '4_Gaming', '24_Quantum', '8_Voice skills']"
Scott Crosby,"['13_Social Good', '14_COVID-19']"
Miguel Allen,"['27_Robotic Process Automation', '10_Communication', '16_Health', '1_Blockchain', '23_Beginner Friendly', '11_Productivity', '14_COVID-19', '22_Open Ended']"
Tim Ward,"['2_DevOps', '10_Communication', '16_Health', '7_IoT', '9_Cybersecurity', '28_Databases', '17_Low/No Code', '26_Mobile', '18_Design', '15_Music/Art', '13_Social Good', '24_Quantum', '11_Productivity', '22_Open Ended', '27_Robotic Process Automation', '21_Enterprise', '20_E-commerce/Retail', '1_Blockchain', '8_Voice skills', '25_Web', '4_Gaming', '19_Education', '3_Fintech', '5_AR/VR', '12_Lifehacks']"
Melissa Osborne,"['14_COVID-19', '15_Music/Art', '5_AR/VR', '27_Robotic Process Automation', '4_Gaming', '23_Beginner Friendly', '1_Blockchain']"
Amy Adams,"['11_Productivity', '1_Blockchain']"
Heather Fox,"['3_Fintech', '13_Social Good', '11_Productivity', '5_AR/VR', '17_Low/No Code', '16_Health', '8_Voice skills']"
Joyce Young,['10_Communication']
Jennifer Singh,"['16_Health', '11_Productivity', '1_Blockchain', '10_Communication', '26_Mobile', '14_COVID-19', '7_IoT', '5_AR/VR', '12_Lifehacks', '21_Enterprise', '25_Web', '9_Cybersecurity', '20_E-commerce/Retail', '2_DevOps', '8_Voice skills', '3_Fintech', '18_Design', '6_Machine Learning/AI', '27_Robotic Process Automation', '13_Social Good', '24_Quantum', '28_Databases', '4_Gaming', '23_Beginner Friendly', '22_Open Ended', '15_Music/Art', '19_Education', '17_Low/No Code']"
Donald Bruce,"['3_Fintech', '4_Gaming', '1_Blockchain', '18_Design', '20_E-commerce/Retail', '23_Beginner Friendly', '24_Quantum', '16_Health', '6_Machine Learning/AI', '10_Communication', '19_Education', '11_Productivity', '28_Databases', '27_Robotic Process Automation']"
Joyce Watson,"['14_COVID-19', '4_Gaming', '2_DevOps', '1_Blockchain', '20_E-commerce/Retail', '3_Fintech', '25_Web', '19_Education', '18_Design', '7_IoT', '27_Robotic Process Automation', '15_Music/Art', '22_Open Ended', '12_Lifehacks', '6_Machine Learning/AI', '26_Mobile', '11_Productivity', '24_Quantum', '28_Databases', '5_AR/VR', '8_Voice skills', '23_Beginner Friendly', '10_Communication', '9_Cybersecurity', '21_Enterprise', '16_Health']"
Kyle Young,"['19_Education', '27_Robotic Process Automation', '10_Communication', '13_Social Good', '16_Health']"
Jessica Bryant,"['15_Music/Art', '1_Blockchain', '9_Cybersecurity', '27_Robotic Process Automation', '21_Enterprise']"
David Smith,"['8_Voice skills', '19_Education', '17_Low/No Code', '2_DevOps', '3_Fintech', '13_Social Good', '9_Cybersecurity', '21_Enterprise', '14_COVID-19']"
Tyler Holland,"['10_Communication', '4_Gaming', '15_Music/Art', '12_Lifehacks', '19_Education', '17_Low/No Code']"
Matthew Barnes,"['21_Enterprise', '23_Beginner Friendly', '11_Productivity', '3_Fintech', '1_Blockchain', '10_Communication', '5_AR/VR', '8_Voice skills', '22_Open Ended', '15_Music/Art', '24_Quantum', '27_Robotic Process Automation', '28_Databases', '16_Health']"
Jeremy Roy,['12_Lifehacks']
