,Recommendation1,Recommendation2,Recommendation3,Recommendation4,Recommendation5
Gregory Chang,Civo Hackathon 2021,Cloud Native Hackathon,Voicehacks Hackathon,Microsoft #BuildFor2030 Hackathon,Codegeist 2022
Laura Salazar,Hack Your Path 4.0,Cybersecurity Hackathon- Secure Kenya,The Green Plan 2030 Challenge,#HACK4WOMEN,SHPE 2021 Cyber Security Challenge Sponsored by NSA and Raytheon 
Richard Lin,API World Hackathon 2022,Castlethon 4.0,Presto Hacks,Data Hackfest,HackPSU Fall 2023
Chad Foster,API World Hackathon 2022,Moscow Zoohackathon,Hackathon Deacero 2020,12th Named Data Networking (NDN) Hackathon,Code Queen Challenge  Dec 2020
Lauren Casey,SustainHacks,Columbia Data Science Society Hackathon 2023,queer_hack 2021,IncluTech Hack,HackWise 2021
William Griffin,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Benjamin Atkins,API World Hackathon 2022,Luna Hacks  : Software Engineering ,iCUBE_2.0,MetroHacks 2021,BostonHacks 2022
Willie Rodriguez,2020 Tunisian Smart Cities Online Hackathon,Zoohackathon Brasil 2019 - Estudantes unidos contra o tráfico de animais,McGill Physics Hackathon 2019,Brook Codes 2022,VolHacks V
Nicole Ramirez,Google’s Immersive Geospatial Challenge,tuwaiq bootcamp project,A-Z Hacks,PlatHacks,AIHacks4Good
Tony Vazquez,Ideathon: Innovative Ideas,TABConf,KuriusHacks: Christmas Edition 2021,Simple Javascript,EduLearn Hackathon(✧Free Goodies for All!✧)
Aaron Lewis,SF Hacks Code Jam 2023 V2,Potatathon,FinHack 2,Fremont Hacks,Inspire2Dev Summer Hackathon
Mr. Douglas Pineda,API World Hackathon 2022,Ideate,ProjectCSGirls Fremont 2021 Hackathon,Hajjathon,CPES Hack in Scratch 2022
Chris Welch,Go Blue Innovate,Sales Kickoff - Americas' Hackathon,DeveloperWeek Austin 2021 Hackathon,1st PHYSICS Hackathon,Hackathon Colombia
Thomas York,Google’s Immersive Geospatial Challenge,Decipher the code(Debugging),Pega Community Hackathon 2022,BadHacks 2023,SWC Hacks
John Evans,NightHacks,The Raccoons 2022,Sorobanathon: Road to Mainnet,Liquid Hacks 3.0,GDSC Game Jam
Heather Bird,NASA Space Apps Challenge Mountain View,Hackathon Deacero 2020,Hack the Valley 8,NUS Inter-Hall Hackathon,MarinaHacks 2022
Barbara Ellis,API World Hackathon 2022,Girls in Tech SF Hacking for Humanity 2022,hackUMBC Fall 2022,Hackatown 2020,Global Design Challenge for Sport and Physical Activity 2022 
Jonathan Carter,Hackerslack,HackEPS2020,MksU Hackfest 2023,HACKMRU,Hackathon Deacero 2020
Marie Morrow,"""Hello 8th Wall"" Workshop in Paris!",Hello 8th Wall Workshop in Berlin!,The Civicode,The GoldenHack 4.0,Hydrogen X Future Hackathon
Michael Morgan,API World Hackathon 2022,Ultra Uniq NFT PFP Hackathon,HackOnLisk2,Cutie Hack 2020: Stay At Home,AT&T Next Gen TV Hackathon
Cheryl Berry,API World Hackathon 2022,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,API World Hackathon 2021,Girls in Tech Mental Health for All Hackathon,Hack the Valley V
Thomas Barnes,HACK LPS,CasbahTech Hackathon,SHPE 2020 Innovation Challenge,2nd Annual Ithaca College code{a}thon,Girls in Tech Virtual Hackathon: Fall 2020 Challenge
Amanda Cohen,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Connie Fisher,AT&T Next Gen TV Hackathon,2023 PICO Dev Jam,T-Mobile Hacktober 2019,TOHacks AR/VR Challenge,Twitch Dev Jam 2019
James Silva,XRPL Hackathon: NFT Launch Party,AUIB Hackathon ,RISE 2022 - Growing Healthy Communities,Hack Plaksha,Oxford Blockchain Hack 2023 (hosted by HomeDAO)
Jonathan Lamb,Google’s Immersive Geospatial Challenge,Devfest Ikot-Ekpene 2022,HackLBS,SacHacks IV,DevFest Eket 2023 - Ecosolutions
Ryan Barnes,API World Hackathon 2022,2. Provinzial Rheinland Hackathon: Future of Insurance,VandyHacks IX,INRIX Hack,Code Green
Jessica Mccullough,Google Maps Platform Hackathon,GreenHack Challenge 2023 - Biodiversity and Ecotourism App Hackathon,AUIB Hackathon ,sHacks v2.05 (pre-alpha release) FINAL (1).docx,UX Scene Designathon 2022
Rachel Ballard,Courier Hacks: Open Source,Hack Brooklyn 2021,"Sunshine State Hackathon, Florida, Oct.21-23",SharkHack's MiniHack,Build The World with Dolby.io Hackathon
Gabriel Carson,Luna Hacks  : Postman ,Girls In Tech Hack,HackUTA 2022,HackED Beta 2022,AI in Education Hackathon by ASU ScaleU
James Campbell,TYE Hackathon,2022 FOOD SYSTEMS CHALLENGE HACK,Hack It Together 2023,6ixBits,Microsoft Azure Innovation Challenge 
Matthew Graves,UCL API Hackathon 2022,HackJA December 2021,The Freshworks Refresh App Challenge ,Hackaton Dev,Orange Inter-ODC Makeathon 2022
Brooke Guzman,MarinaHacks 2022,Stanford's SLAC Program STEM Media Competition,Web3 Stack Hack,Slimplicity: Slim.AI Hackathon,Patriot_Hacks
Stephanie White,Hacks for Humanity,SkyHack 2023,Fitch 2022 Codeathon for Education,Vivid Hacks RICI,SkyHack 3.0
Erin Ryan,API World Hackathon 2022,Snap Developer Challenge 2021,XDC DeFi Hackathon,Turn Language into Action: A Natural Language Hackathon for Good,LETS HACK 2020
Kevin Stevens,API World Hackathon 2022,LETS HACK 2020,XRPL Hackathon: NFT Launch Party,Snap Spotlight Lensathon,5G Edge Computing Challenge with AWS
Brandon Trujillo,Google’s Immersive Geospatial Challenge,HackHolyoke 2021,DandyHacks'22,AR VR FEST HACKATHON,HackSussex
Denise Quinn,API World Hackathon 2022,Hackathon Bojonegoro,DigitalBits Blockchain Hackathon,HackQC 2022,Codestellation 2020
Stefanie Stark,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Kathy Phillips,API World Hackathon 2022,Design-a-thon,Cosmos HackAtom V,Metis Ethereum Hackathon,Torus 4 Everyone
Jessica Harper,Disrupt Puerto Rico Hackathon,"CryptoChicks Blockchain and AI Hackathon and Conference 2020 in Toronto, Canada",Legend Hacks,YB Hackathon,GDST Cologne Hackathon
Judith Mclean,API World Hackathon 2022,Devfest Ikot-Ekpene 2022,MarinaHacks 2022,SPARKATHON,Codegeist 2022
Bryan Barker,Hackatown 2020,HackWise 2020,Ideate,The Brandeis Quant Club ML/AI Competition,The Hackathon 2020
Donald Walters,API World Hackathon 2022,AT&T Next Gen TV Hackathon,HackLBS,BlockHack 2023,HackmaFest
John Hernandez,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Christina Weaver,API World Hackathon 2022,WSU Nexus,HackNEHS,UGAHacks Makeathon,Hackadtech - open hackathon by AdTech Holding
Richard Wright,API World Hackathon 2022,Hack Concode,Hack APAC - “The New Normal is Yours!”,FuturistFest 2021,Hack4Earth
Jessica Perez,Google’s Immersive Geospatial Challenge,Torus 4 Everyone,Hack the Valley 8,CrimsonCode Hackathon,Fall 2022 BeaverHacks Life-Hackathon 
David Rogers,CodeUp-Hack-22,DigiEduHack Barcelona,WyoHackathon 2020,YB Hackathon,YouthCodeX
Joseph Lambert,API World Hackathon 2022,Facebook Developer Circle Hackathon - Los Angeles,HackED Beta 2022,Do-Re-Mi Hacks 3,Thehacktrical 2
Olivia White,MaHack,HackPrinceton Fall 2022,MarinaHacks 2022,Presto Hacks,Outside LLMs
Tammy Brown MD,"Motor City Hack on Mobility, Health and Well-being",Codestellation 2020,Reconnect-Ed,Virtual COBRE Overdose Hackathon,Rehack 
Jennifer Jennings,Dashathon,Strike: A Virtual Lightning Hackathon,Campus Hack,Hack to the Future,SouthHacks 2019
Steven Cardenas,[EVENT CANCELLED] HP SCDS Hackathon - Heritage & Technology Edition,Girls Hoo Hack Hackathon,The Climate Change-Makers Challenge: 2022,HackCamp 2022,HACK4ODISHA
Jeffrey Boyer,API World Hackathon 2022,Defense Hackathon SRM ,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022,theCoderSchool Fall 2022 Hackathon
Justin Knight,Prototypical,HackJA December 2021,JingleHacks,HackED Society's Decodeathon,Holiday Game Jam
Caitlyn Clark,HackRPI Fall 2020,Emerging Technology Hack 2019,Pitt Challenge 2021,Machine Hacks,HackEPS 2021
Jeffrey Carpenter,Girls in Tech Mental Health for All Hackathon,Hack Your Learning - SchulichHacks 2023,Clarkathon 2023,HackQC 2022,MATLAB Hackathon Uniroma2
Peter Hester,Legend Hacks,IEEE Open Hacks,The Global Hackathon - LA Blockchain Week ,AMD Code Jam,"CryptoChicks Blockchain and AI Hackathon and Conference 2020 in Toronto, Canada"
Kristen Russell,CheeseHacks 2021,Luna Hacks  : Software Engineering ,Miami Buildathon,AWS Data Exchange for APIs Challenge,RMRKable Hacktoberfest
Jennifer Robbins,Google’s Immersive Geospatial Challenge,Hack This Fall 2.0,hackBCA VI,SASEhack Fall 2022,HackHolyoke 2021
Gary Barrett,Google’s Immersive Geospatial Challenge,YouthCodeX,Fall 2022 BeaverHacks Life-Hackathon ,Kiva Fall 2021 Hackathon,PoweringSTEMHacks2
Margaret Keith,API World Hackathon 2022,HackWise 2020,Hack to the Future 2020,[EVENT CANCELLED] HP SCDS Hackathon - Heritage & Technology Edition,tuwaiq bootcamp project
Samantha Cooper,Data Hackfest,Au{T9}umn Hacks,iCUBE_2.0,Evergreen Grand Hackathon,GDSC Minerva DevFest on Campus | Hackathon
Jennifer Oliver,hackTAMS Fall 2021,Courier Hacks: Feature Focus,#HACK4WOMEN,Luna Hacks  : Postman ,Hack4Goa
Randy Thornton,WebWonders Hackfest,AI Classroom Challenge,Civiso Designathon 2022,TiE University APP-A-THON 2022,Encode Justice NY Hackathon
Tammy Daniel,JingleHacks,Global Hack Week December Day 7,MontyHacks VI,XRPL Hackathon: NFT Launch Party,Garuda Hacks v2.0
Emily Jones,Hopeathon Hawaii Has Been Cancelled Due to COVID,Columbia DivHacks 2020,Rehack ,SkyHack 2023,GovTech Hackathon 2021
Nathan Cooley Jr.,Google’s Immersive Geospatial Challenge,Girls Hoo Hack Hackathon,APP-A-THON (Virtual Hackathon),BlockHack Global FE 2022,Liquid Hacks 2.0
Teresa Rodriguez,SMU LIT Hackathon 2022,IEEE Open Hacks,India Innovation Series - Delhi NCR,Legend Hacks,uXperience | Think Privacy
Lance Haynes,API World Hackathon 2022,Climathon #1: Expanding NYC ,BusinessMeetsTech IdeaHack! 2022,HackHW 2022,Hack the Game of GO
James Romero,What The Hack 2022,Mixed Reality Challenge: StereoKit (C# and OpenXR),Micro Hack 2023,SPARKATHON,Codestellation 2020
Robert Johnson,California Artificial Intelligence Summit (GCL),FEMTech Bootcamp,MATLAB Hackathon Uniroma2,HACK-O-TOPIA,Supernova Hackathon
April Salas,jacobsHack! 2021,Hack APAC - “The New Normal is Yours!”,Hack The Block,TRON Grand Hackathon - Season 3,Strike: A Virtual Lightning Hackathon
Christina Sanchez,Castlethon 3.0,FactHack 2023,SDaCathon 2022 - Hack the Construction ,TeenHacks LI Fall 2020,Modzy AI Hackathon
Ashley Richardson,SWC Hacks,GreenHack Challenge 2023 - Biodiversity and Ecotourism App Hackathon,sHacks v2.05 (pre-alpha release) FINAL (1).docx,AUIB Hackathon ,Hack Plaksha
Hannah Mitchell,WHS GWC x Robotics Hackathon,Dropbox Sign AI-Powered Agreements Hackathon,Polyana App 2020,All Inclusive Hacks,FemmeHacks 2023
Micheal Humphrey,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Mary Sims,API World Hackathon 2022,HELPFUL HACKATHON: Tackling Climate Change ,FHS.hacks(),Web3 Hackathon Puerto Rico 2.0,SkyHack 3.0
April Turner,Dashathon,DevFest Algiers 2021 Hackathon,Chainlink Fall 2022 Hackathon,AWS Graviton Hackathon,A-Z Hacks
Larry Warren,NNHSHacks,Decentralized Identity Foundation Hackathon,NUS Inter-Hall Hackathon,NCDevHack 2022,FuturistFest 2021
Karen Conley,natHACKS 2023,Neighborhood Hacks 2,Hack The Block,Ideathon: Innovative Ideas,BayMax
David Garza,AI Blockchain,CodeUp-Hack-22,Qubit 24Hr Hackathon,CodeDAO Web3 Hackathon,Celo's Make Crypto Mobile Hackathon
Laura Cruz,Google’s Immersive Geospatial Challenge,HackHolyoke 2021,DeepDiveHacks,DandyHacks'22,Civiso Designathon 2022
Harold Lewis,AWS Health AI Hackathon,Hack for the World,Post Covid Hack 2020,Pitt Challenge 2020,FemmeHacks 2023
Patty Tanner,Google’s Immersive Geospatial Challenge,Hack-at-ICE 2022,Zoohackathon 2019 - Kota Kinabalu,2021 Calgary Youth Hackathon,HackmaFest
Jared Lewis,MarinaHacks 2022,FDD Dart and Flutter Student Hackathon,MaHack,Helix Hacks,HackFromHome - Round 3
John Reid,IATA ONE Record Hackathon – hosted by Qatar Airways Cargo,DATAnalyze 2021,Fintech Collab Hack: TIAA Challenge,ForgeMcGill ,Liquid Hacks 2.0
Vanessa Sanchez,hackMISSO,JingleHacks,RowdyHacks 2022,Lockgenix,Metaverse Hackathon
Carolyn Moore,CYHacks '23,Fremont Hacks,YCP Hacks 2022,HackNJIT 2022,HACK4CG
Sherri Rogers,API World Hackathon 2022,Hack APAC - “The New Normal is Yours!”,BlockHack 2023,Filipino Startup Incubator for Social Good,Hack the Valley 7
Melissa Collins,API World Hackathon 2022,Hack APAC - “The New Normal is Yours!”,Hack4Earth,Foursquare Places Hackathon,Garuda Hacks v2.0
Kevin Mccoy,Hudson Valley Tech Festival & Hackathon,1st PHYSICS Hackathon,Cybersecurity Hackathon- Secure Kenya,Smart Aurangabad Hackathon ,12th Named Data Networking (NDN) Hackathon
Michelle Hunt,API World Hackathon 2022,BioMedEngX,NOVATHON,HACK LPS,FOLLOW THE WHITE RABBIT HACKATHON 2021
Justin Harris,Google’s Immersive Geospatial Challenge,McGill CodeJam 12,Presto Hacks,Hawaii Annual Code Challenge 2021,#PayAsYouKnow Hackathon
Lisa Jenkins,IvyHacks: First Ivy League Hackathon,Utonhack 2021 / Clover ,Genius Challenge,Cybersecurity Hackathon- Secure Kenya,Hacking for Humanity - Tech para la educación sexual
Emily Gamble,Cloud Native Hackathon,WeCargo ,CS Week 3.0 Hackathon,PropTech Challenge - presented by REBNY,Quick Base Virtual Hackathon
Susan Kelley,Google’s Immersive Geospatial Challenge,MD Hacks,Hack OC,Patriot_Hacks,September 23 NETSCOUT ALL GIRLS HACKATHON
Patricia Stewart,Сarcheckvin,Zoohackathon 2019 Colombia,HackNEHS,McGill Physics Hackathon 2019,Web3 Hackathon Puerto Rico 2.0
Victoria Thompson,API World Hackathon 2022,Luna Hacks  : Postman ,AR VR FEST HACKATHON,Hack-A-League,Hydra Hacks III
Vincent Young,BostonHacks 2020,Kiva Fall 2021 Hackathon,NextStep,DigitalBits Blockchain Hackathon,Torus 4 Everyone
Leon Bowen,jacobsHack! 2021,HackDown 2022,Ideathon'21,Global Hack Week October Day 6,PickleHack 2021
Rachel Jones,API World Hackathon 2022,Kore.ai Botathon,Fitch 2022 Codeathon for Education,Hack to the Future,Chainlink Fall Hackathon 2021
Mr. Scott Banks,API World Hackathon 2022,Nokathon ,India Innovation Series - Delhi NCR,Codegeist 2022,MuleSoft Hackathon 2021
Jason Kelly,Virtual COBRE Overdose Hackathon,NEXT CREATE-A-THON,OPTIV x SSF CYBER SECURITY 2023,HackPrinceton Fall 2022,UGAHacks Makeathon
Mario Fox,HackBlue Cyber Hackathon,QuackHacks Spring 2023,UX Scene Designathon 2022,Wildcat Fresh Hacks,SF Hacks Code Jam 2023 V2
Jill Williams,RealityFest Exhibition Hall,RealityFest 2021,Reality Hack 2022 - Hacking the Hack,AR/VR Africa Hackathon - in DRC,AT&T Mixed Reality Hackathon with Magic Leap
Victor Glover,Hack The Block,Hack This Fall 2.0,Sorobanathon: Road to Mainnet,TRON Grand Hackathon - Season 3,HackTX 2022
Andrea Adams,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women,DevFest'19 jeddah ,Ultra Uniq NFT PFP Hackathon,Digital EduHack South Asia 2021,Columbia DivHacks 2020
Douglas Henry,Tech Takes On Mental Health Hackathon,Pitt Challenge 2021,Epson Innovation Challenge #3,Step into STEM,HubIT Online-Designathon 
Jessica Morton,HackQC 2022,Hackathon Solidário,The Hackathon 2020,DemonHacks 2019,TVCOG Smart Cities Hackathon
Heather Moore,Dementia - Our Common Challenge,HealthX 2021,eHealthHack 2021,Sanford HealthHack 2020,HackCancer Solutions
Jonathan Hodges,Google’s Immersive Geospatial Challenge,Neighborhood Hacks 2,GitX 2022 - PSG Tech,Cipher | Finals | UNNAT 2022,FemmeHacks 2023
Karen Schneider,Google’s Immersive Geospatial Challenge,1st PHYSICS Hackathon,Hudson Valley Tech Festival & Hackathon,LunarHacks 2022,Hack the Change 2021
Benjamin Kelly,Zoohackathon Finland,San Diego Zoohackathon 2019,McGill Physics Hackathon 2019,Zoohackathon Manila 2019,Kolkata Zoohackathon 2019
Sherri Hart,API World Hackathon 2022,HackTable2020,HealthCareCodings Medhackathon,Metaverse Hackathon,AWS Graviton Hackathon
Shelley Mcdaniel,Google’s Immersive Geospatial Challenge,HackPrinceton Fall 2022,TigerHacks,UNT NSBEHack 2022,PlutoHacks
Troy Obrien,The Robots Are Coming,Hack the Game of GO,UNT NSBEHack 2023,Knight Hacks VI,GraceHacks
Adrian Nguyen,SMU LIT Hackathon 2022,Legend Hacks,YB Hackathon,INRIX Hack,Ensenada Hackathon 2022
Amy Quinn,API World Hackathon 2022,NightHacks,Patriot_Hacks,Liquid Hacks 2.0,NewHacks 2022
Bob Wyatt,API World Hackathon 2022,Turn Language into Action: A Natural Language Hackathon for Good,Diffusion 2019,Hack Concode,Bitcoin Bankathon
Caitlin Cardenas,Red Bull AdrenaLAN 2019,SingleStore Database Hackathon ,SchoolHacks,KuriusHacks: Christmas Edition 2021,MontyHacks VI
Tara Bonilla,Bring Down Counterfeiting 2022: Policy Hackathon,Hack Orlando,Corpus Hacks,PlutoHacks,CodeXplode: Ignite the Coding Revolution
Stephanie Martin,SF Global Progcomp,PropTech Challenge - presented by REBNY,Random Power Hackathon,Decentralized Identity Foundation Hackathon,Torus 4 Everyone
Tara Lewis,Google’s Immersive Geospatial Challenge,RALLYtoUS + VetsinTech Online Hackathon,YouthHacks,Hacks for Humanity,BostonHacks 2022
Miss Caroline Bell,GreatUniHack19,What The Hack 2022,"Equitable Elevation II - (Internships, Prestigious Article, 300K Non-Cash Prize)",Courier Hacks: Open Source,Global Design Challenge for Sport and Physical Activity 2022 
Paul Morales,API World Hackathon 2022,Sales Kickoff - Americas' Hackathon,Prompt Engineering Hackathon for Humanities,HACK THE 5G CITY: A NEW ERA OF CITY SERVICES ON 5G,Legend Hacks
Kent Holloway,5G Edge Computing Challenge with AWS,Codegeist 2022,AWS {PDX} Hackathon,Agora Video SDK Hackathon (Web),loomSDK Holiday Hack
Joseph Schmidt,HACC 2022,2021 NY Artificial Intelligence Healthcare Entrepreneurship AIdeathon,Atlanta Sci-fi Film Festival's (ASCIFFF) Game Jam,Square + Google AI Hackathon,Wildcat Fresh Hacks
Angela Hall,HACK THE 5G CITY: A NEW ERA OF CITY SERVICES ON 5G,STEM JAM,KBTG Software Architecture Design and Development Hackathon 2019,AT&T Mixed Reality Hackathon with Magic Leap,DG Hack 01
Mikayla Palmer,Mockupp,Wildcat Fresh Hacks,Design-a-thon,2021 Calgary Youth Hackathon,Prototypical
Albert Gray,POSTPONED! -- Lopes Giving Back Hack 2022,A-Z Hacks,SchoolHacks,Zoohackathon Finland,Emerging Technology Hack 2019
Michael Santana,AstraHacks 2.0,TechTogether New York,PlutoHacks,YouthHacks,Hacks for Humanity
Lori Morris,Hackathon BDC Montréal 2020,Nordic IT Security Hackathon 2023,AMD Code Jam,RowdyHacks 2022,Global Power Rankings Hackathon
Jose Benitez,SF Global Progcomp,PropTech Challenge - presented by REBNY,The Global Hackathon - LA Blockchain Week ,Legend Hacks,NextStep
Brian Ramirez,QBHacks 2019,Geneva Zoohackathon,Zoohackathon Brasil 2019 - Estudantes unidos contra o tráfico de animais,UPitch 2019,Zoohackathon 2019 - Botswana
Alex Scott,Hack Cambridge Spyder Lite Hackathon,Filipino Startup Incubator for Social Good,Hack Spartan 2023,HackED Beta 2022,Microsoft #BuildFor2030 Hackathon
Kathryn Peterson,DemonHacks,Mixed Reality Challenge: StereoKit (C# and OpenXR),Hack At Home,HackathonX,Abbey Road Hack-Power Of Immersion  9/10 Nov
Brandi Hernandez,Microsoft US Hack for Wellness,Ultra Uniq NFT PFP Hackathon,INRIX Amazon University Hack 2023,MarinaHacks 2022,HackEPS 2021
Trevor Fisher,TigerHacks 2022,Hack The Runway ,The GoldenHack 4.0,IBM Z Datathon 2023,MarinaHacks 2022
Patrick Kirby,API World Hackathon 2022,Data Natives Hackathon ,Hawaii Annual Code Challenge 2021,The Metaverse Healthcare Hackathon,2. Provinzial Rheinland Hackathon: Future of Insurance
Theodore Briggs,SLO Hacks Go,HackUTD VIII,CharlestonHacks harborHack (in person only),Devfest Ikot-Ekpene 2022,BusinessMeetsTech IdeaHack! 2022
Christine Jackson,API World Hackathon 2022,GreatUniHack19,Hack Upstate XV,Lehman Hacks,Hack the Crisis (Ages 8-17)
Lindsey Chandler,API World Hackathon 2022,NOVATHON,Web3 Stack Hack,Snap Kit Developer Challenge 2020,Slimplicity: Slim.AI Hackathon
Eric Mccarty II,Hack the Change 2022,Hydrogen X Future Hackathon,CharlestonHacks harborHack (in person only),NaijaHacks 2019,Hack The Runway 
Erica Smith,Google’s Immersive Geospatial Challenge,Hackathon Deacero 2020,hackBCA VI,Hack Dearborn: Disrupt Reality,Steel Hacks 2023
Michelle Carson,Intelligent Innovators Hackathon 2022,ONE Record Hackathon Toronto - Hosted by Air Canada Cargo & IBM,Hackadon 2020 - COVID-19 ONLINE EDITION,TAMU Datathon 2020,CSI Hackathon
Alexandra Murphy,MarinaHacks 2022,Miami Buildathon,UX Scene Designathon 2022,Design-a-thon,Spooky Software Hackathon
Leah Schaefer,Google’s Immersive Geospatial Challenge,hackaTUM C0dev1d19,The Climate Change-Makers Challenge: 2022,Hack WashU,HackUIowa '23
Michelle Martin,Hacks of Kindness,HackTCNJ 2021,Hacks for Humanity,GovTech Hackathon 2021,Hack4Earth
Belinda Cook,LCW ACM Student Chapter Hack It Apart ,MindHack'23 - Gebze Teknik Universitesi,NUSH HACK 2022,IHS CS Club 2021 October Hackathon,HackTrin VIII
Robert Robertson,Square + Google AI Hackathon,Automate for Good,HackSussex,Bitcoin Hackathon for MFI & Education,Cosmos HackAtom VI 
Amanda Thompson,FDD Dart and Flutter Student Hackathon,Hack APAC - “The New Normal is Yours!”,Climathon #1: Expanding NYC ,CPES Hack in Scratch 2022,Seerbit Future of Payment Hackathon 
John Moore,API World Hackathon 2022,UNT NSBEHack 2022,Hack-SA,Opportunity Hack 2022,Prompt Engineering Hackathon for Humanities
Justin Rodriguez,Brook Codes 2021,MY Streamlit Hack,Zoohackathon 2019 - Vienna,GPT Plugins (S)Hackathon,FinHack 2
Paula Riddle,API World Hackathon 2022,IvyHacks: First Ivy League Hackathon,Slimplicity: Slim.AI Hackathon,Snap Developer Challenge 2021,Build The World with Dolby.io Hackathon
Elizabeth Cain,Hack the Crisis (Ages 8-17),The Civicode,MarinaHacks 2022,Kolkata Zoohackathon 2019,Google Maps Platform Hackathon
Bryce Stewart,API World Hackathon 2022,SFU Engineering Competition 2021,Amplitude London Hackathon,The Green Plan 2030 Challenge,INRIX Hack 2023
Barbara Zamora,Google’s Immersive Geospatial Challenge,GPT Plugins (S)Hackathon,HACK THE 5G CITY: A NEW ERA OF CITY SERVICES ON 5G,jacobsHack!2022,Hack This Fall 2.0
Reginald Vaughn,API World Hackathon 2022,TRON Grand Hackathon - Season 3,Chainlink Fall 2022 Hackathon,Pega Community Hackathon 2022,AWS Graviton Hackathon
Pamela Kelley,Cisco Meraki Global Hackathon 2022,BusinessMeetsTech IdeaHack! 2022,hackaTUM C0dev1d19,CSI Hackathon,YouthCodeX
Brittany Phillips,Orange Inter-ODC Makeathon 2022,Campus2030,Google’s Immersive Geospatial Challenge,PlutoHacks,Future of Forestry Hackathon
Mackenzie Chapman,Google’s Immersive Geospatial Challenge,hackUMBC Fall 2020,Liquid Hacks 2.0,HackRPI,Digital HackFair 2.0 | Bringing Technical Solutions to Empower Women
Melissa Flores,TABConf,NUS Inter-Hall Hackathon,HackRPI 2022,Kin Crypto Challenge,HECO Gaming Hackathon  2021
Tiffany Phillips,API World Hackathon 2022,"Project Program - UW CSC, DSC",Horror Hacks 2023,AWS Data Exchange for APIs Challenge,XRPL Hackathon: NFT Launch Party
Robin Young,DojoHacks2020,UGAHacks Makeathon,HackforNaija,Seerbit Future of Payment Hackathon ,Micro Hack 2023
Lindsay Rodriguez,API World Hackathon 2022,Call for Startups,Hajjathon,CPES Hack in Scratch 2022,Youth4Change Hackathon 2022
Mary Kaiser,API World Hackathon 2022,Hackerslack,Web3 Stack Hack,Microsoft Azure Innovation Challenge ,IvyHacks: First Ivy League Hackathon
Stephanie Love,DesignMerced,uXperience | Think Privacy,Castlethon 3.0,12th Named Data Networking (NDN) Hackathon,MLH Coding Challenge
Jody Clark,Au{T9}umn Hacks,Strike: A Virtual Lightning Hackathon,Hack The Heights 5,ETH Panama Hackathon 2022,Hawaii Annual Code Challenge 2021
Robert Marshall Jr.,Google’s Immersive Geospatial Challenge,Cybersecurity Hackathon- Secure Kenya,Hack Upstate XV,Hack the Bronx 2,Impact Hacks
Mrs. Diana Dixon,HarvestHacks Bay Area,Prototypical,2021 Calgary Youth Hackathon,AI Art Competition Sydney Australia,Potatathon
Jenny Hanna,Hack the Valley 7,NewHacks 2022,Сarcheckvin,NewHacks 2021,Westview Hacks
Elizabeth Walker,API World Hackathon 2022,HackElevate,Defense Hackathon SRM ,ProjectCSGirls Fremont 2021 Hackathon,Hajjathon
Harold Marshall,Cipher | Finals | UNNAT 2022,LunarHacks 2022,Google Maps Platform Hackathon,WebWonders Hackfest,AWS Health AI Hackathon
Christopher Carter,AI Blockchain,DeveloperWeek Enterprise 2022 Hackathon,API World Hackathon 2021,Decentralized Identity Foundation Hackathon,INRIX Hack 2023
Christian Watts,Google’s Immersive Geospatial Challenge,Devfest Ikot-Ekpene 2022,CodeDAO Web3 Hackathon,CodeRED Artemis,HackAttack
Destiny Hernandez,Twitch Dev Jam 2019,RMRKable Hacktoberfest,Google Maps Platform Hackathon,Ultra Uniq NFT PFP Hackathon,Miami Buildathon
Destiny Peterson,Google’s Immersive Geospatial Challenge,The Global Hackathon - LA Blockchain Week ,Hackcoming 2,The Raccoons 2022,1st PHYSICS Hackathon
Jerry Davenport,guadalahacks,"Smart e-Hackathon on ""SUSTAINABLE RURAL DEVELOPMENT - 2021 (SH-SRD 2021)""",Hackatown 2020,Hack the Change 2022,GovTech Hackathon 2021
George Smith,Google’s Immersive Geospatial Challenge,Harvest Hacks,VR Summit Hackathon,Innovate2Educate Hackathon,HackHolyoke 2021
Dr. Kara Brown,HackNEHS,MY Streamlit Hack,ChargerHacks 2023,Hackdemonium 2.0,IBM Z Datathon 2023
Adrian Brown,Illinois Design Challenge 2022,Hack Spartan 2023,UNT NSBEHack 2022,FEMTech Bootcamp,UGAHacks Makeathon II
Dustin Williams,API World Hackathon 2022,Blockstack Can't Be Evil Contest: Part 3,Technica 2022,Cutie Hack 2020: Stay At Home,AT&T Next Gen TV Hackathon
